slug,title,state,region,type,badge,rating,reviewCount,minPrice,lat,lng
kanyakumari,"Kanyakumari",Tamil Nadu,Cape Comorin,beach,Popular,4.4,26000,900,8.0883,77.5385
tirupati,"Tirupati",Andhra Pradesh,Tirumala Hills,spiritual,Popular,4.6,60000,900,13.6288,79.4192
visakhapatnam,"Visakhapatnam",Andhra Pradesh,Eastern Ghats,beach,Popular,4.4,31000,1200,17.6868,83.2185
araku-valley,"Araku Valley",Andhra Pradesh,Eastern Ghats,hill_station,Popular,4.4,12000,1100,18.3273,82.8765
hyderabad,"Hyderabad",Telangana,Deccan Plateau,heritage,Popular,4.5,58000,1200,17.385,78.4867
mumbai,"Mumbai",Maharashtra,Konkan Coast,heritage,Popular,4.4,72000,1500,19.076,72.8777
lonavala,"Lonavala",Maharashtra,Sahyadri,hill_station,Popular,4.3,34000,1200,18.7546,73.4062
mahabaleshwar,"Mahabaleshwar",Maharashtra,Sahyadri,hill_station,Popular,4.4,27000,1300,17.9237,73.6582
ajanta-ellora,"Ajanta & Ellora",Maharashtra,Aurangabad,heritage,Popular,4.7,19000,1000,20.5519,75.7033
matheran,"Matheran",Maharashtra,Sahyadri,hill_station,Popular,4.3,15000,1300,18.9866,73.2707
ahmedabad,"Ahmedabad",Gujarat,Sabarmati,heritage,Popular,4.4,33000,1000,23.0225,72.5714
gir,"Gir National Park",Gujarat,Saurashtra,wildlife,Popular,4.6,17000,2500,21.124,70.824
dwarka,"Dwarka",Gujarat,Saurashtra,spiritual,Popular,4.5,19000,900,22.2403,68.9686
somnath,"Somnath",Gujarat,Saurashtra,spiritual,Popular,4.6,18000,900,20.888,70.401
saputara,"Saputara",Gujarat,Dang,hill_station,Popular,4.2,9000,1100,20.574,73.7517
statue-of-unity,"Statue of Unity",Gujarat,Narmada,heritage,Popular,4.5,26000,1500,21.838,73.7191
khajuraho,"Khajuraho",Madhya Pradesh,Bundelkhand,heritage,Popular,4.6,21000,900,24.8318,79.9199
gwalior,"Gwalior",Madhya Pradesh,Chambal,heritage,Popular,4.4,17000,900,26.2183,78.1828
orchha,"Orchha",Madhya Pradesh,Bundelkhand,heritage,Popular,4.6,12000,900,25.3518,78.642
pachmarhi,"Pachmarhi",Madhya Pradesh,Satpura,hill_station,Popular,4.4,12000,1100,22.4675,78.4336
bandhavgarh,"Bandhavgarh",Madhya Pradesh,Umaria,wildlife,Popular,4.6,14000,3000,23.7,81
kanha,"Kanha",Madhya Pradesh,Maikal Hills,wildlife,Popular,4.6,13000,3000,22.3345,80.6115
ujjain,"Ujjain",Madhya Pradesh,Malwa,spiritual,Popular,4.6,30000,900,23.1765,75.7885
kolkata,"Kolkata",West Bengal,Hooghly Delta,heritage,Popular,4.5,49000,1200,22.5726,88.3639
sundarbans,"Sundarbans",West Bengal,Ganges Delta,wildlife,Popular,4.4,11000,2500,21.9497,88.4297
puri,"Puri",Odisha,Coromandel Coast,spiritual,Popular,4.5,32000,900,19.8135,85.8312
konark,"Konark",Odisha,Coromandel Coast,heritage,Popular,4.6,15000,900,19.8876,86.0945
bhubaneswar,"Bhubaneswar",Odisha,Mahanadi,heritage,Popular,4.4,18000,1000,20.2961,85.8245
bodh-gaya,"Bodh Gaya",Bihar,Gaya,spiritual,Popular,4.7,24000,900,24.6961,84.987
nalanda,"Nalanda",Bihar,Magadh,heritage,Popular,4.5,9000,900,25.1357,85.4436
kufri,"Kufri",Himachal Pradesh,Shimla,hill_station,Popular,4.1,14000,1300,31.098,77.267
binsar,"Binsar",Uttarakhand,Kumaon,wildlife,Popular,4.5,6000,1500,29.7,79.76
dehradun,"Dehradun",Uttarakhand,Doon Valley,hill_station,Popular,4.2,28000,1100,30.3165,78.0322
yelagiri,"Yelagiri",Tamil Nadu,Vellore,hill_station,Popular,4.1,7000,1100,12.58,78.64
netarhat,"Netarhat",Jharkhand,Chota Nagpur,hill_station,Popular,4.2,4000,1000,23.4667,84.2667
diu,"Diu",Daman & Diu,Kathiawar Coast,beach,Popular,4.3,12000,1200,20.7197,70.9904
tarkarli,"Tarkarli",Maharashtra,Konkan Coast,beach,Popular,4.4,9000,1100,16.05,73.49
digha,"Digha",West Bengal,Bay of Bengal,beach,Popular,4,14000,900,21.627,87.5079
galathea-national-park,"Galathea National Park",Andaman & Nicobar,Andaman & Nicobar,wildlife,Popular,4.7,20863,2500,6.923,93.833
mount-manipur-national-park,"Mount Manipur National Park",Andaman & Nicobar,Andaman & Nicobar,wildlife,Popular,4.4,12885,2500,11.8074,92.7571
saddle-peak-national-park,"Saddle Peak National Park",Andaman & Nicobar,Andaman & Nicobar,wildlife,Popular,4.6,21148,2500,13.15861111,93.00555556
south-button-island-national-park,"South Button Island National Park",Andaman & Nicobar,Andaman & Nicobar,wildlife,Popular,4.1,17774,2500,12.22388889,93.02027778
sri-vetrimalai-murugan-temple,"Sri Vetrimalai Murugan Temple",Andaman & Nicobar,Andaman & Nicobar,spiritual,Popular,4.4,18159,900,11.6631,92.7464
kwangtung-island-wildlife-sanctuary,"Kwangtung Island Wildlife Sanctuary",Andaman & Nicobar,Andaman & Nicobar,wildlife,Popular,4.5,19773,2500,13.41,93.03
bamboo-island-wildlife-sanctuary,"Bamboo Island Wildlife Sanctuary",Andaman & Nicobar,Andaman & Nicobar,wildlife,Popular,4.3,2452,2500,13.051111111,92.933055555
tirumala-venkateswara-temple,"Tirumala Venkateswara Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,20679,900,13.683055555,79.346944444
belum-caves,"Belum Caves",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.5,12659,900,15.102346,78.111541
mallikarjuna-temple,"Mallikarjuna Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,19311,900,16.0740699,78.8681489
simhachalam-temple,"Simhachalam Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,15799,900,17.7664,83.2505
kanaka-durga-temple,"Kanaka Durga Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.4,3226,900,16.5154,80.6059
srikalahasti-temple,"Srikalahasti Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,11433,900,13.7494,79.6983
veerabhadra-temple,"Veerabhadra Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,3644,900,13.8018,77.6096
arasavalli-sun-temple,"Arasavalli Sun Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,12200,900,18.3,83.9
ethipothala-falls,"Ethipothala Falls",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.3,20754,900,16.53714,79.40664
ramakrishna-mission-beach,"Ramakrishna Mission Beach",Andhra Pradesh,Andhra Pradesh,beach,Popular,4.7,16775,1200,17.7117,83.3205
konda-reddy-fort,"Konda Reddy Fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.3,14152,900,15.833738346,78.048621807
yaganti-temple,"Yaganti Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,5426,900,15.3508,78.1394
sri-kodandrama-swamy-temple-vontimitta,"Sri Kodandrama Swamy Temple, Vontimitta",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,18929,900,14.393694444,79.027083333
papikonda-national-park,"Papikonda National Park",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.1,9080,2500,17.483,81.4856
rushikonda-beach,"Rushikonda Beach",Andhra Pradesh,Andhra Pradesh,beach,Popular,4.3,12339,1200,17.7825201,83.3851154
kondaveedu-fort,"Kondaveedu Fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.5,18134,900,16.2597,80.2653
kondapalli-fort,"Kondapalli Fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.6,13292,900,16.6253,80.5307
kanipakam-vinayaka-temple,"Kanipakam Vinayaka Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.8,20126,900,13.276944,79.035278
somarama,"Somarama",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,9435,900,16.54126667,81.53508611
mogalrajapuram-caves,"Mogalrajapuram caves",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.4,5804,900,16.506111111,80.646944444
pulicat-lake-bird-sanctuary,"Pulicat Lake Bird Sanctuary",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.6,12642,2500,13.56666667,80.2
talakona,"Talakona",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.2,5948,900,13.811666666,79.215555555
chandragiri-fort,"Chandragiri Fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.1,6393,900,13.5825,79.305555555
palli-kondeswarar-temple-surutupalle,"Palli Kondeswarar Temple, Surutupalle",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,20868,900,13.15,80.3
kumararama,"Kumararama",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.1,5933,900,17.0531,82.1695
chintala-venkataramana-temple-tadipatri,"Chintala Venkataramana Temple, Tadipatri",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,19987,900,14.911166666,78.011
annavaram-satyanarayana-temple,"Annavaram Satyanarayana Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,21043,900,17.28328,82.40256
manjira-wildlife-sanctuary,"Manjira Wildlife Sanctuary",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.1,19670,2500,17.6933,78.00639
kambalakonda-wildlife-sanctuary,"Kambalakonda Wildlife Sanctuary",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.6,8288,2500,17.82527778,83.30861111
kondakarla-ava,"Kondakarla Āva",Andhra Pradesh,Andhra Pradesh,beach,Popular,4.7,13798,1200,17.6,83
vodarevu-beach,"Vodarevu Beach",Andhra Pradesh,Andhra Pradesh,beach,Popular,4.2,4439,1200,15.7956,80.4142
gooty-fort,"Gooty Fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.2,20656,900,15.11358156,77.65030444
madaksira-hill-fort,"Madaksira hill fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.8,5973,900,13.9440095,77.268655485
amararama,"Amararama",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.4,5999,900,16.58099,80.358946
ksheerarama,"Ksheerarama",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,6100,900,16.5333,81.7333
bhavanarayana-temple,"Bhavanarayana temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,11290,900,15.9026444,80.4678971
prasanna-venkateswara-temple,"Prasanna Venkateswara Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,2560,900,13.537416666,79.477611111
devipuram,"Devipuram",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,12153,900,17.76536667,83.08295556
kurmanathaswamy-temple-srikurmam,"Kurmanathaswamy Temple, Srikurmam",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.8,10089,900,18.27,84.0066
kolleru-bird-sanctuary,"Kolleru Bird Sanctuary",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.5,5934,2500,16.61666667,81.2
rajiv-gandhi-national-park,"Rajiv Gandhi National Park",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.5,6330,2500,14.726944444,78.560833333
rollapadu-wildlife-sanctuary,"Rollapadu Wildlife Sanctuary",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.1,6129,2500,15.745001,78.373052
sri-lakshmi-narasimha-swamy-temple-antarvedi,"Sri Lakshmi Narasimha Swamy Temple, Antarvedi",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,5988,900,16.3333,81.7333
vedanarayana-temple-nagalapuram,"Vedanarayana Temple, Nagalapuram",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,15689,900,13.387694444,79.796861111
parasuramesvara-temple,"Parasuramesvara Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.4,6509,900,13.605446388,79.5773
mangapuram-venkatesvara-vishnu-temple,"Mangapuram Venkatesvara Vishnu Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,5980,900,13.61089799,79.32749427
lakshmi-narasimha-swamy-temple-penna-ahobilam,"Lakshmi Narasimha swamy temple, Penna Ahobilam",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,9436,900,14.8603,77.3065
someswara-swamy-temple-appikonda,"Someswara Swamy Temple, Appikonda",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,14979,900,17.576473,83.173084
koneti-rayala-swamy-temple,"Koneti Rayala Swamy Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,13815,900,13.23791667,78.77263889
kotappakonda,"Kotappakonda",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.1,2728,900,16.1465438,80.0355045
lakshmi-narasimha-temple-mangalagiri,"Lakshmi Narasimha Temple, Mangalagiri",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,19686,900,16.4370352,80.5701012
beeramgunta-poleramma-temple,"Beeramgunta Poleramma Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,11550,900,14.62814167,80.03512778
ratnagiri-fort,"Ratnagiri Fort",Andhra Pradesh,Andhra Pradesh,heritage,Popular,4.5,10134,900,13.81054309,77.1302982
sri-kodandarama-swami-devastanam,"Sri Kodandarama Swami Devastanam",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,8606,900,14.545555555,79.881666666
talupulamma-lova,"Talupulamma Lova",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,19791,900,17.377,82.496
pushpagiri-group-of-temples,"Pushpagiri Group of Temples",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,11969,900,14.594211,78.760175
kotasattemma-temple-nidadavolu,"Kotasattemma Temple, Nidadavolu",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,20241,900,16.971,81.773
veerabhadra-temple-pattiseema,"Veerabhadra Temple, Pattiseema",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,11091,900,17.217,81.646
swayambhu-sri-abhista-gnana-ganapathi-temple,"Swayambhu Sri Abhista Gnana Ganapathi Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,19821,900,15.7609411,78.0137396
thiripurantakesvararar-temple-tripuranthakam,"Thiripurantakesvararar Temple, Tripuranthakam",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,10403,900,16.0069892,79.4332639
chengalamma-parameshwari-temple,"Chengalamma Parameshwari Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.4,10445,900,13.691277777,80.012916666
gangamma-temple-dhenuvakonda,"Gangamma Temple, Dhenuvakonda",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.8,19571,900,15.70209,79.95614
koulutla-chenna-kesava-temple,"Koulutla Chenna Kesava Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.6,2166,900,15.85638889,77.37694444
gundla-brahmeswaram-wildlife-sanctuary,"Gundla Brahmeswaram Wildlife Sanctuary",Andhra Pradesh,Andhra Pradesh,wildlife,Popular,4.5,4626,2500,15.661178,78.745231
ramayapatnam-beach,"Ramayapatnam Beach",Andhra Pradesh,Andhra Pradesh,beach,Popular,4.2,16854,1200,16.3404314,81.6017932
ramalingeswara-swamy-temple,"Ramalingeswara swamy Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.1,20558,900,15.805277777,80.2575
dibbesvarasvamipur-temple,"Dibbesvarasvamipur Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,15443,900,18.1343779,83.4672203
siddalakona,"SiddalaKona",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,11067,900,14.2041,79.7271
sri-sunama-jakini-matha,"Sri Sunama Jakini Matha",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.2,8744,900,15.133180555,77.626188888
peddintlamma-temple-kolletikota,"Peddintlamma Temple, Kolletikota",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,6263,900,16.6276,81.2893
sri-talpagiri-ranganadha-swamy-temple-nellore,"Sri Talpagiri Ranganadha Swamy Temple, Nellore",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.7,12467,900,14.878847,79.297857
andhra-shiridi,"Andhra Shiridi",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,3920,900,16.95,82.01
sai-shiva-balaji-mandir-dharmapuri,"Sai Shiva Balaji Mandir, Dharmapuri",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.3,17195,900,18.101388888,83.409166666
sri-sri-nookambika-ammavari-temple,"Sri Sri Nookambika Ammavari Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.8,9517,900,17.681,83.01095
chowdeshwari-temple-at-nandavaram,"Chowdeshwari Temple at Nandavaram",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.4,7234,900,15.373768048,78.279965484
maddi-anjaneya-temple,"Maddi Anjaneya Temple",Andhra Pradesh,Andhra Pradesh,spiritual,Popular,4.5,13244,900,17.0879271,81.270783
malinithan,"Malinithan",Arunachal Pradesh,Arunachal Pradesh,spiritual,Popular,4.6,8005,900,27.65666667,94.70583333
eaglenest-wildlife-sanctuary,"Eaglenest Wildlife Sanctuary",Arunachal Pradesh,Arunachal Pradesh,wildlife,Popular,4.6,14686,2500,27.1,92.4
nuranang-falls,"Nuranang Falls",Arunachal Pradesh,Arunachal Pradesh,heritage,Popular,4.1,17219,900,27.589444444,91.984166666
chumi-gyatse-falls,"Chumi Gyatse Falls",Arunachal Pradesh,Arunachal Pradesh,heritage,Popular,4.4,14559,900,27.7762,91.9829
kameng-elephant-reserve,"Kameng Elephant Reserve",Arunachal Pradesh,Arunachal Pradesh,heritage,Popular,4.7,8297,900,27.08333333,92.43333333
sessa-orchid-sanctuary,"Sessa Orchid Sanctuary",Arunachal Pradesh,Arunachal Pradesh,wildlife,Popular,4.6,12430,2500,27.2,92.5
talley-valley-wildlife-sanctuary,"Talley Valley Wildlife Sanctuary",Arunachal Pradesh,Arunachal Pradesh,wildlife,Popular,4.6,19327,2500,27.547681,93.897555
itanagar-wildlife-sanctuary,"Itanagar Wildlife Sanctuary",Arunachal Pradesh,Arunachal Pradesh,wildlife,Popular,4.1,1546,2500,27.068472222,93.581361111
kane-wildlife-sanctuary,"Kane Wildlife Sanctuary",Arunachal Pradesh,Arunachal Pradesh,wildlife,Popular,4.6,21173,2500,27.666666666,94.65
mehao-wildlife-sanctuary,"Mehao Wildlife Sanctuary",Arunachal Pradesh,Arunachal Pradesh,wildlife,Popular,4.2,18693,2500,28.1575,95.94
kamakhya-temple,"Kamakhya Temple",Assam,Assam,spiritual,Popular,4.7,6118,900,26.166426,91.705509
maidam,"Maidam",Assam,Assam,heritage,Popular,4.1,5394,900,26.943611111,94.875
orang-national-park,"Orang National Park",Assam,Assam,wildlife,Popular,4.4,2530,2500,26.61,92.36
pobitora-wildlife-sanctuary,"Pobitora Wildlife Sanctuary",Assam,Assam,wildlife,Popular,4.2,10008,2500,26.24111111,92.03138889
sivasagar-sivadol,"Sivasagar Sivadol",Assam,Assam,spiritual,Popular,4.8,9315,900,26.988764948,94.633120149
umananda-temple,"Umananda Temple",Assam,Assam,spiritual,Popular,4.4,9371,900,26.1966,91.7454
assam-state-zoo-cum-botanical-garden,"Assam State Zoo cum Botanical Garden",Assam,Assam,wildlife,Popular,4.1,5055,2500,26.1632,91.7868
hayagriva-madhava-temple,"Hayagriva Madhava Temple",Assam,Assam,spiritual,Popular,4.5,7295,900,26.2427,91.5265
mahabhairav-temple,"Mahabhairav Temple",Assam,Assam,spiritual,Popular,4.4,6877,900,26.63416667,92.79638889
negheriting-shiva-doul,"Negheriting Shiva Doul",Assam,Assam,spiritual,Popular,4.8,11017,900,26.71,93.96
