region,slug,title,state,type,rating,minPrice
Andhra Pradesh,pulicat-lake-bird-sanctuary,"Pulicat Lake Bird Sanctuary",Andhra Pradesh,wildlife,4.6,2500
Andhra Pradesh,talakona,"Talakona",Andhra Pradesh,heritage,4.2,900
Andhra Pradesh,chandragiri-fort,"Chandragiri Fort",Andhra Pradesh,heritage,4.1,900
Andhra Pradesh,palli-kondeswarar-temple-surutupalle,"Palli Kondeswarar Temple, Surutupalle",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,kumararama,"Kumararama",Andhra Pradesh,spiritual,4.1,900
Andhra Pradesh,chintala-venkataramana-temple-tadipatri,"Chintala Venkataramana Temple, Tadipatri",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,annavaram-satyanarayana-temple,"Annavaram Satyanarayana Temple",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,manjira-wildlife-sanctuary,"Manjira Wildlife Sanctuary",Andhra Pradesh,wildlife,4.1,2500
Andhra Pradesh,kambalakonda-wildlife-sanctuary,"Kambalakonda Wildlife Sanctuary",Andhra Pradesh,wildlife,4.6,2500
Andhra Pradesh,kondakarla-ava,"Kondakarla Āva",Andhra Pradesh,beach,4.7,1200
Andhra Pradesh,vodarevu-beach,"Vodarevu Beach",Andhra Pradesh,beach,4.2,1200
Andhra Pradesh,gooty-fort,"Gooty Fort",Andhra Pradesh,heritage,4.2,900
Andhra Pradesh,madaksira-hill-fort,"Madaksira hill fort",Andhra Pradesh,heritage,4.8,900
Andhra Pradesh,amararama,"Amararama",Andhra Pradesh,spiritual,4.4,900
Andhra Pradesh,ksheerarama,"Ksheerarama",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,bhavanarayana-temple,"Bhavanarayana temple",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,prasanna-venkateswara-temple,"Prasanna Venkateswara Temple",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,devipuram,"Devipuram",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,kurmanathaswamy-temple-srikurmam,"Kurmanathaswamy Temple, Srikurmam",Andhra Pradesh,spiritual,4.8,900
Andhra Pradesh,kolleru-bird-sanctuary,"Kolleru Bird Sanctuary",Andhra Pradesh,wildlife,4.5,2500
Andhra Pradesh,rajiv-gandhi-national-park,"Rajiv Gandhi National Park",Andhra Pradesh,wildlife,4.5,2500
Andhra Pradesh,rollapadu-wildlife-sanctuary,"Rollapadu Wildlife Sanctuary",Andhra Pradesh,wildlife,4.1,2500
Andhra Pradesh,sri-lakshmi-narasimha-swamy-temple-antarvedi,"Sri Lakshmi Narasimha Swamy Temple, Antarvedi",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,vedanarayana-temple-nagalapuram,"Vedanarayana Temple, Nagalapuram",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,parasuramesvara-temple,"Parasuramesvara Temple",Andhra Pradesh,spiritual,4.4,900
Andhra Pradesh,mangapuram-venkatesvara-vishnu-temple,"Mangapuram Venkatesvara Vishnu Temple",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,lakshmi-narasimha-swamy-temple-penna-ahobilam,"Lakshmi Narasimha swamy temple, Penna Ahobilam",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,someswara-swamy-temple-appikonda,"Someswara Swamy Temple, Appikonda",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,koneti-rayala-swamy-temple,"Koneti Rayala Swamy Temple",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,kotappakonda,"Kotappakonda",Andhra Pradesh,spiritual,4.1,900
Andhra Pradesh,lakshmi-narasimha-temple-mangalagiri,"Lakshmi Narasimha Temple, Mangalagiri",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,beeramgunta-poleramma-temple,"Beeramgunta Poleramma Temple",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,ratnagiri-fort,"Ratnagiri Fort",Andhra Pradesh,heritage,4.5,900
Andhra Pradesh,sri-kodandarama-swami-devastanam,"Sri Kodandarama Swami Devastanam",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,talupulamma-lova,"Talupulamma Lova",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,pushpagiri-group-of-temples,"Pushpagiri Group of Temples",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,kotasattemma-temple-nidadavolu,"Kotasattemma Temple, Nidadavolu",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,veerabhadra-temple-pattiseema,"Veerabhadra Temple, Pattiseema",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,swayambhu-sri-abhista-gnana-ganapathi-temple,"Swayambhu Sri Abhista Gnana Ganapathi Temple",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,thiripurantakesvararar-temple-tripuranthakam,"Thiripurantakesvararar Temple, Tripuranthakam",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,chengalamma-parameshwari-temple,"Chengalamma Parameshwari Temple",Andhra Pradesh,spiritual,4.4,900
Andhra Pradesh,gangamma-temple-dhenuvakonda,"Gangamma Temple, Dhenuvakonda",Andhra Pradesh,spiritual,4.8,900
Andhra Pradesh,koulutla-chenna-kesava-temple,"Koulutla Chenna Kesava Temple",Andhra Pradesh,spiritual,4.6,900
Andhra Pradesh,gundla-brahmeswaram-wildlife-sanctuary,"Gundla Brahmeswaram Wildlife Sanctuary",Andhra Pradesh,wildlife,4.5,2500
Andhra Pradesh,ramayapatnam-beach,"Ramayapatnam Beach",Andhra Pradesh,beach,4.2,1200
Andhra Pradesh,ramalingeswara-swamy-temple,"Ramalingeswara swamy Temple",Andhra Pradesh,spiritual,4.1,900
Andhra Pradesh,dibbesvarasvamipur-temple,"Dibbesvarasvamipur Temple",Andhra Pradesh,spiritual,4.5,900
Andhra Pradesh,siddalakona,"SiddalaKona",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,sri-sunama-jakini-matha,"Sri Sunama Jakini Matha",Andhra Pradesh,spiritual,4.2,900
Andhra Pradesh,peddintlamma-temple-kolletikota,"Peddintlamma Temple, Kolletikota",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,sri-talpagiri-ranganadha-swamy-temple-nellore,"Sri Talpagiri Ranganadha Swamy Temple, Nellore",Andhra Pradesh,spiritual,4.7,900
Andhra Pradesh,andhra-shiridi,"Andhra Shiridi",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,sai-shiva-balaji-mandir-dharmapuri,"Sai Shiva Balaji Mandir, Dharmapuri",Andhra Pradesh,spiritual,4.3,900
Andhra Pradesh,sri-sri-nookambika-ammavari-temple,"Sri Sri Nookambika Ammavari Temple",Andhra Pradesh,spiritual,4.8,900
Andhra Pradesh,chowdeshwari-temple-at-nandavaram,"Chowdeshwari Temple at Nandavaram",Andhra Pradesh,spiritual,4.4,900
Andhra Pradesh,maddi-anjaneya-temple,"Maddi Anjaneya Temple",Andhra Pradesh,spiritual,4.5,900
Aravalli Plains,jaipur,"Jaipur",Rajasthan,heritage,4.6,900
Aravalli Range,mount-abu,"Mount Abu",Rajasthan,hill_station,4.4,1000
Arunachal Pradesh,malinithan,"Malinithan",Arunachal Pradesh,spiritual,4.6,900
Arunachal Pradesh,eaglenest-wildlife-sanctuary,"Eaglenest Wildlife Sanctuary",Arunachal Pradesh,wildlife,4.6,2500
Arunachal Pradesh,nuranang-falls,"Nuranang Falls",Arunachal Pradesh,heritage,4.1,900
Arunachal Pradesh,chumi-gyatse-falls,"Chumi Gyatse Falls",Arunachal Pradesh,heritage,4.4,900
Arunachal Pradesh,kameng-elephant-reserve,"Kameng Elephant Reserve",Arunachal Pradesh,heritage,4.7,900
Arunachal Pradesh,sessa-orchid-sanctuary,"Sessa Orchid Sanctuary",Arunachal Pradesh,wildlife,4.6,2500
Arunachal Pradesh,talley-valley-wildlife-sanctuary,"Talley Valley Wildlife Sanctuary",Arunachal Pradesh,wildlife,4.6,2500
Arunachal Pradesh,itanagar-wildlife-sanctuary,"Itanagar Wildlife Sanctuary",Arunachal Pradesh,wildlife,4.1,2500
Arunachal Pradesh,kane-wildlife-sanctuary,"Kane Wildlife Sanctuary",Arunachal Pradesh,wildlife,4.6,2500
Arunachal Pradesh,mehao-wildlife-sanctuary,"Mehao Wildlife Sanctuary",Arunachal Pradesh,wildlife,4.2,2500
Assam,kamakhya-temple,"Kamakhya Temple",Assam,spiritual,4.7,900
Assam,maidam,"Maidam",Assam,heritage,4.1,900
Assam,orang-national-park,"Orang National Park",Assam,wildlife,4.4,2500
Assam,pobitora-wildlife-sanctuary,"Pobitora Wildlife Sanctuary",Assam,wildlife,4.2,2500
Assam,sivasagar-sivadol,"Sivasagar Sivadol",Assam,spiritual,4.8,900
Assam,umananda-temple,"Umananda Temple",Assam,spiritual,4.4,900
Assam,assam-state-zoo-cum-botanical-garden,"Assam State Zoo cum Botanical Garden",Assam,wildlife,4.1,2500
Assam,hayagriva-madhava-temple,"Hayagriva Madhava Temple",Assam,spiritual,4.5,900
Assam,mahabhairav-temple,"Mahabhairav Temple",Assam,spiritual,4.4,900
Assam,negheriting-shiva-doul,"Negheriting Shiva Doul",Assam,spiritual,4.8,900
Assam,garampani-wildlife-sanctuary,"Garampani Wildlife Sanctuary",Assam,wildlife,4.1,2500
Assam,hoollongapar-gibbon-sanctuary,"Hoollongapar Gibbon Sanctuary",Assam,wildlife,4.5,2500
Assam,kareng-ghar,"Kareng Ghar",Assam,heritage,4.1,900
Assam,hatimura-temple,"Hatimura Temple",Assam,spiritual,4.5,900
Assam,maha-mrityunjay-temple,"Maha Mrityunjay Temple",Assam,spiritual,4.3,900
Assam,bura-chapori-wildlife-sanctuary,"Bura Chapori Wildlife Sanctuary",Assam,wildlife,4.3,2500
Assam,chakrashila-wildlife-sanctuary,"Chakrashila Wildlife Sanctuary",Assam,wildlife,4.2,2500
Assam,bornadi-wildlife-sanctuary,"Bornadi Wildlife Sanctuary",Assam,wildlife,4.5,2500
Assam,mahamaya-dham,"Mahamaya Dham",Assam,spiritual,4.7,900
Assam,burhi-gosani-devalaya-jorhat,"Burhi Gosani Devalaya Jorhat",Assam,spiritual,4.3,900
Assam,deopani-durga-mandir,"Deopani Durga Mandir",Assam,spiritual,4.5,900
Assam,gurdwara-sri-guru-tegh-bahadur-sahib,"Gurdwara Sri Guru Tegh Bahadur Sahib",Assam,heritage,4.4,900
Assam,da-parbatia,"Da Parbatia",Assam,spiritual,4.3,900
Assam,joysagar-vishnudol,"Joysagar Vishnudol",Assam,spiritual,4.6,900
Assam,bhimeswar-dham,"Bhimeswar Dham",Assam,spiritual,4.4,900
Assam,bharali-namghar,"Bharali Namghar",Assam,spiritual,4.7,900
Assam,bherjan-borajan-padumoni-wildlife-sanctuary,"Bherjan-Borajan-Padumoni Wildlife Sanctuary",Assam,wildlife,4.3,2500
Assam,east-karbi-anglong-wildlife-sanctuary,"East Karbi-Anglong Wildlife Sanctuary",Assam,wildlife,4.2,2500
Assam,amchang-wildlife-sanctuary,"Amchang Wildlife Sanctuary",Assam,wildlife,4.2,2500
Assam,pani-dihing-wildlife-sanctuary,"Pani Dihing Wildlife Sanctuary",Assam,wildlife,4.6,2500
Assam,lankeshwar-temple,"Lankeshwar Temple",Assam,spiritual,4.4,900
Assam,bagheswari-temple-bongaigaon,"Bagheswari Temple, Bongaigaon",Assam,spiritual,4.4,900
Assam,bileswar-temple,"Bileswar Temple",Assam,spiritual,4.6,900
Assam,nagsankar-mandir,"Nagsankar Mandir",Assam,spiritual,4.3,900
Assam,siva-doul,"Siva Doul",Assam,spiritual,4.5,900
Assam,vasudeva-doul,"Vasudeva Doul",Assam,spiritual,4.6,900
Assam,panimur,"Panimur",Assam,heritage,4.4,900
Assam,deepar-beel-wildlife-sanctuary,"Deepar Beel Wildlife Sanctuary",Assam,wildlife,4.2,2500
Assam,nambor-doigrung-wildlife-sanctuary,"Nambor - Doigrung Wildlife Sanctuary",Assam,wildlife,4.1,2500
Assam,govinda-temple-hojai,"Govinda Temple, Hojai",Assam,spiritual,4.7,900
Assam,golaghat-british-cemetery,"Golaghat British Cemetery",Assam,spiritual,4.3,900
Aurangabad,ajanta-ellora,"Ajanta & Ellora",Maharashtra,heritage,4.7,1000
Backwaters,alleppey,"Alleppey",Kerala,beach,4.6,1500
Backwaters,kumarakom,"Kumarakom",Kerala,beach,4.5,1800
Bagalkot,badami,"Badami",Karnataka,heritage,4.4,900
BandiPora District,gurez-valley,"Gurez Valley",Jammu & Kashmir,hillstation,4.9,3000
Banjar Valley / Kullu,jibhi,"Jibhi",Himachal Pradesh,hillstation,4.9,1800
Bastar District,chitrakote-falls,"Chitrakote Falls",Chhattisgarh,nature,4.8,2000
Bay of Bengal,digha,"Digha",West Bengal,beach,4,900
Bihar,rohtasgarh-fort,"Rohtasgarh Fort",Bihar,heritage,4.5,900
Bihar,mundeshwari-temple,"Mundeshwari Temple",Bihar,spiritual,4.7,900
Bihar,takht-sri-patna-sahib,"Takht Sri Patna Sahib",Bihar,heritage,4.1,900
Bihar,kanwar-lake-bird-sanctuary,"Kanwar Lake Bird Sanctuary",Bihar,wildlife,4.7,2500
Bihar,vishnupad-temple-gaya,"Vishnupad Temple, Gaya",Bihar,spiritual,4.6,900
Bihar,baba-garib-sthan-mandir,"Baba Garib Sthan Mandir",Bihar,spiritual,4.1,900
Bihar,bhimbandh-wildlife-sanctuary,"Bhimbandh Wildlife Sanctuary",Bihar,wildlife,4.5,2500
Bihar,mangla-gauri-temple,"Mangla Gauri Temple",Bihar,spiritual,4.8,900
Bihar,ashokdham-temple,"Ashokdham Temple",Bihar,spiritual,4.4,900
Bihar,gautam-budha-wildlife-sanctuary,"Gautam Budha Wildlife Sanctuary",Bihar,wildlife,4.7,2500
Bihar,udaypur-wildlife-sanctuary,"Udaypur Wildlife Sanctuary",Bihar,wildlife,4.4,2500
Bihar,aranya-devi-temple-arrah,"Aranya Devi Temple, Arrah",Bihar,spiritual,4.4,900
Bihar,maa-tara-chandi-temple,"Maa Tara Chandi Temple",Bihar,spiritual,4.7,900
Bihar,kaimur-wildlife-sanctuary,"Kaimur Wildlife Sanctuary",Bihar,wildlife,4.8,2500
Bihar,munger-fort,"Munger Fort",Bihar,heritage,4.8,900
Bihar,buxar-fort,"Buxar Fort",Bihar,heritage,4.5,900
Bihar,darbhanga-fort,"Darbhanga Fort",Bihar,heritage,4.2,900
Bihar,gurdwara-bal-lila-maini-sangat,"Gurdwara Bal Lila Maini Sangat",Bihar,heritage,4.7,900
Bihar,pataleshwar-mandir,"Pataleshwar Mandir",Bihar,spiritual,4.8,900
Bihar,vikramshila-gangetic-dolphin-sanctuary,"Vikramshila Gangetic Dolphin Sanctuary",Bihar,wildlife,4.7,2500
Bihar,chandika-sthan,"Chandika Sthan",Bihar,spiritual,4.4,900
Bihar,pant-wildlife-sanctuary,"Pant Wildlife Sanctuary",Bihar,wildlife,4.6,2500
Bihar,kapileshwar-temple,"Kapileshwar Temple",Bihar,spiritual,4.6,900
Bihar,khudneshwar-asthan-morwa,"Khudneshwar Asthan Morwa",Bihar,spiritual,4.2,900
Bihar,lal-keshwar-shiv-temple,"Lal Keshwar Shiv Temple",Bihar,spiritual,4.3,900
Bihar,basilica-of-our-lady-of-divine-grace,"Basilica of Our Lady of Divine Grace",Bihar,spiritual,4.7,900
Bihar,iskcon-temple-patna,"ISKCON Temple Patna",Bihar,spiritual,4.1,900
Bihar,nagi-bird-sanctuary,"Nagi Bird Sanctuary",Bihar,wildlife,4.6,2500
Bihar,barela-bird-sanctuary,"Barela Bird Sanctuary",Bihar,wildlife,4.2,2500
Bihar,kusheshwar-asthan-bird-sanctuary,"Kusheshwar Asthan Bird Sanctuary",Bihar,wildlife,4.3,2500
Bihar,rajauli-wildlife-sanctuary,"Rajauli Wildlife Sanctuary",Bihar,wildlife,4.7,2500
Bihar,nandangarh-stupa-and-rampart,"Nandangarh Stupa and Rampart",Bihar,heritage,4.4,900
Bihar,koncheswar-mahadev-temple,"Koncheswar Mahadev temple",Bihar,spiritual,4.8,900
Bihar,sundernath,"Sundernath",Bihar,spiritual,4.2,900
Bihar,vishwamitra-ashram-bisaul,"Vishwamitra Ashram, Bisaul",Bihar,heritage,4.3,900
Bihar,gurdwara-handi-sahib,"Gurdwara Handi Sahib",Bihar,heritage,4.2,900
Bishnupur District,loktak-lake,"Loktak Lake",Manipur,nature,4.9,2400
Brahmaputra Valley,kaziranga,"Kaziranga",Assam,wildlife,4.8,600
Brahmaputra,majuli,"Majuli",Assam,heritage,4.4,1000
Buldhana District,lonar-crater,"Lonar Crater Lake",Maharashtra,nature,4.7,1800
Bundelkhand,khajuraho,"Khajuraho",Madhya Pradesh,heritage,4.6,900
Bundelkhand,orchha,"Orchha",Madhya Pradesh,heritage,4.6,900
Cape Comorin,kanyakumari,"Kanyakumari",Tamil Nadu,beach,4.4,900
Chamarajanagar,bandipur,"Bandipur",Karnataka,wildlife,4.5,2500
Chamba,dalhousie,"Dalhousie",Himachal Pradesh,hill_station,4.3,1300
Chamba,khajjiar,"Khajjiar",Himachal Pradesh,hill_station,4.4,1400
Chambal,gwalior,"Gwalior",Madhya Pradesh,heritage,4.4,900
Chandigarh,burail-fort,"Burail Fort",Chandigarh,heritage,4.4,900
Chandigarh,manimajra-fort,"Manimajra Fort",Chandigarh,heritage,4.4,900
Changthang Plateau,hanle,"Hanle",Ladakh,adventure,4.9,2500
Chhattisgarh,chitrakoot-falls,"Chitrakoot Falls",Chhattisgarh,heritage,4.5,900
Chhattisgarh,teerathgarh-falls,"Teerathgarh Falls",Chhattisgarh,scenic,4.8,900
Chhattisgarh,bhoramdeo-temple,"Bhoramdeo Temple",Chhattisgarh,spiritual,4.7,900
Chhattisgarh,kotumsar-cave,"Kotumsar Cave",Chhattisgarh,heritage,4.2,900
Chhattisgarh,bambleshwari-temple,"Bambleshwari Temple",Chhattisgarh,spiritual,4.5,900
Chhattisgarh,maitri-baagh-zoo,"Maitri Baagh Zoo",Chhattisgarh,wildlife,4.7,2500
Chhattisgarh,ashtabhuji-temple,"Ashtabhuji Temple",Chhattisgarh,spiritual,4.1,900
Chhattisgarh,rajiv-lochan-temple-rajim,"Rajiv Lochan temple, Rajim",Chhattisgarh,spiritual,4.6,900
Chhattisgarh,barfani-dham,"Barfani dham",Chhattisgarh,spiritual,4.4,900
Chhattisgarh,dhumnath-temple,"Dhumnath Temple",Chhattisgarh,spiritual,4.7,900
Chhattisgarh,cathedral-of-our-lady-of-the-rosary,"Cathedral of Our Lady of the Rosary",Chhattisgarh,spiritual,4.4,900
Chhattisgarh,mahadev-temple-deobaloda,"Mahadev Temple, Deobaloda",Chhattisgarh,spiritual,4.2,900
Chhattisgarh,indal-deul-temple-kharod,"Indal Deul temple, Kharod",Chhattisgarh,spiritual,4.2,900
Chhattisgarh,nandanvan-jungle-safari,"Nandanvan Jungle Safari",Chhattisgarh,wildlife,4.5,2500
Chhattisgarh,arang-jain-temples,"Arang Jain temples",Chhattisgarh,spiritual,4.1,900
Chhattisgarh,bhooteshwarnath,"Bhooteshwarnath",Chhattisgarh,spiritual,4.2,900
Chhattisgarh,mendri-ghumar,"Mendri Ghumar",Chhattisgarh,heritage,4.3,900
Chota Nagpur,netarhat,"Netarhat",Jharkhand,hill_station,4.2,1000
Coimbatore District,valparai,"Valparai",Tamil Nadu,hillstation,4.8,2500
Coromandel Coast,pondicherry,"Pondicherry",Puducherry,beach,4.5,1200
Coromandel Coast,mahabalipuram,"Mahabalipuram",Tamil Nadu,heritage,4.6,1000
Coromandel Coast,puri,"Puri",Odisha,spiritual,4.5,900
Coromandel Coast,konark,"Konark",Odisha,heritage,4.6,900
Daman & Diu,fort-st-anthony-of-simbor,"Fort St. Anthony of Simbor",Daman & Diu,heritage,4.7,900
Daman & Diu,dadra-and-nagar-haveli-wildlife-sanctuary,"Dadra and Nagar Haveli Wildlife Sanctuary",Daman & Diu,wildlife,4.6,2500
Dang,saputara,"Saputara",Gujarat,hill_station,4.2,1100
Darjeeling District,sandakphu,"Sandakphu",West Bengal,adventure,4.9,2200
Deccan Plateau,mysore,"Mysore",Karnataka,heritage,4.6,1000
Deccan Plateau,hyderabad,"Hyderabad",Telangana,heritage,4.5,1200
Delhi,red-fort,"Red Fort",Delhi,heritage,4.4,900
Delhi,lotus-temple,"Lotus Temple",Delhi,spiritual,4.1,900
Delhi,chhatarpur-temple,"Chhatarpur Temple",Delhi,spiritual,4.6,900
Delhi,jhandewalan-temple,"Jhandewalan Temple",Delhi,spiritual,4.7,900
Delhi,asola-bhatti-wildlife-sanctuary,"Asola Bhatti Wildlife Sanctuary",Delhi,wildlife,4.7,2500
Delhi,gurdwara-dam-dama-sahib,"Gurdwara Dam Dama Sahib",Delhi,heritage,4.3,900
Delhi,st-sebastian-s-church,"St. Sebastian's Church,",Delhi,spiritual,4.8,900
Delhi,st-james-orthodox-church-mayur-vihar-phase-3-delhi,"St. James' Orthodox Church, Mayur Vihar Phase-3, Delhi",Delhi,spiritual,4.5,900
Dhar District,mandu,"Mandu (Mandav)",Madhya Pradesh,heritage,4.8,2000
Doon Valley,dehradun,"Dehradun",Uttarakhand,hill_station,4.2,1100
East Khasi Hills,mawlynnong,"Mawlynnong",Meghalaya,nature,4.8,1800
East Sikkim,gangtok,"Gangtok",Sikkim,hill_station,4.6,1500
Eastern Ghats,visakhapatnam,"Visakhapatnam",Andhra Pradesh,beach,4.4,1200
Eastern Ghats,araku-valley,"Araku Valley",Andhra Pradesh,hill_station,4.4,1100
Eastern Himalayas,darjeeling,"Darjeeling",West Bengal,hill_station,4.6,500
Ganderbal,sonamarg,"Sonamarg",Jammu & Kashmir,hill_station,4.5,1800
Ganga Plains,haridwar,"Haridwar",Uttarakhand,spiritual,4.5,900
Ganges Delta,sundarbans,"Sundarbans",West Bengal,wildlife,4.4,2500
Gangetic Plains,varanasi,"Varanasi",Uttar Pradesh,spiritual,4.5,350
Garhwal Himalayas,kanatal,"Kanatal",Uttarakhand,hill_station,4.6,500
Garhwal Himalayas,rishikesh,"Rishikesh",Uttarakhand,spiritual,4.6,350
Garhwal,mussoorie,"Mussoorie",Uttarakhand,hill_station,4.4,1300
Garhwal,auli,"Auli",Uttarakhand,adventure,4.6,2000
Garhwal,lansdowne,"Lansdowne",Uttarakhand,hill_station,4.3,1500
Garhwal,chopta,"Chopta",Uttarakhand,hill_station,4.6,1200
Gaya,bodh-gaya,"Bodh Gaya",Bihar,spiritual,4.7,900
Goa,western-ghats,"Western Ghats",Goa,hill_station,4.6,1500
Goa,dudhsagar-falls,"Dudhsagar Falls",Goa,heritage,4.1,900
Goa,basilica-of-bom-jesus,"Basilica of Bom Jesus",Goa,spiritual,4.3,900
Goa,bhagwan-mahaveer-sanctuary-and-mollem-national-park,"Bhagwan Mahaveer Sanctuary and Mollem National Park",Goa,wildlife,4.4,2500
Goa,fort-aguada,"Fort Aguada",Goa,heritage,4.6,900
Goa,vagator-beach,"Vagator Beach",Goa,beach,4.2,1200
Goa,mangueshi-temple,"Mangueshi Temple",Goa,spiritual,4.7,900
Goa,mahadev-temple-tambdi-surla,"Mahadev Temple, Tambdi Surla",Goa,spiritual,4.2,900
Goa,palolem-beach,"Palolem Beach",Goa,beach,4.6,1200
Goa,fort-tiracol,"Fort Tiracol",Goa,heritage,4.5,900
Goa,shanta-durga-temple,"Shanta Durga Temple",Goa,spiritual,4.4,900
Goa,our-lady-of-the-immaculate-conception-church,"Our Lady of the Immaculate Conception Church",Goa,spiritual,4.4,900
Goa,mhadei-wildlife-sanctuary,"Mhadei Wildlife Sanctuary",Goa,wildlife,4.3,2500
Goa,netravali-wildlife-sanctuary,"Netravali Wildlife Sanctuary",Goa,wildlife,4.3,2500
Goa,corjuem-fort,"Corjuem Fort",Goa,heritage,4.3,900
Goa,alorna-fort,"Alorna Fort",Goa,heritage,4.6,900
Goa,fort-of-sao-tiago-of-banastarim,"Fort of São Tiago of Banastarim",Goa,heritage,4.6,900
Goa,cabo-de-rama,"Cabo de Rama",Goa,heritage,4.3,900
Goa,church-of-our-lady-of-the-snows,"Church of Our Lady of the Snows",Goa,hill_station,4.3,1200
Goa,colvale-fort,"Colvale Fort",Goa,heritage,4.6,900
Goa,church-of-st-anne-talaulim,"Church of St. Anne, Talaulim",Goa,spiritual,4.2,900
Goa,saptakoteshwar-temple,"Saptakoteshwar Temple",Goa,spiritual,4.3,900
Goa,mormugao-fort,"Mormugão Fort",Goa,heritage,4.3,900
