type,slug,title,state,rating,minPrice
beach,dandi-beach,"Dandi Beach",Gujarat,4.7,1200
beach,dumas-beach,"Dumas Beach",Gujarat,4.1,1200
beach,shivrajpur-beach,"Shivrajpur beach",Gujarat,4.5,1200
beach,padubidri-beach,"Padubidri Beach",Karnataka,4.5,1200
beach,kappad,"Kappad",Kerala,4.1,1200
beach,muzhappilangad-beach,"Muzhappilangad Beach",Kerala,4.5,1200
beach,kollam-beach,"Kollam Beach",Kerala,4.8,1200
beach,shankumugham-beach,"Shankumugham Beach",Kerala,4.4,1200
beach,marari-beach,"Marari Beach",Kerala,4.7,1200
beach,cherai-beach,"Cherai Beach",Kerala,4.4,1200
beach,puthenthope-beach,"Puthenthope Beach",Kerala,4.3,1200
beach,meenkunnu-beach,"Meenkunnu Beach",Kerala,4.4,1200
beach,aksa-beach,"Aksa Beach",Maharashtra,4.5,1200
beach,kalamb-beach,"Kalamb Beach",Maharashtra,4.1,1200
beach,talasari-beach,"Talasari beach",Odisha,4.6,1200
beach,chandrabhaga-beach,"Chandrabhaga beach",Odisha,4.6,1200
beach,konark-beach,"Konark Beach",Odisha,4.3,1200
beach,promenade-beach,"Promenade Beach",Puducherry,4.4,1200
beach,agatti-island,"Agatti Island",Lakshadweep,4.8,5500
beach,bangaram-island,"Bangaram Island",Lakshadweep,4.9,6500
beach,dhanushkodi,"Dhanushkodi",Tamil Nadu,4.9,2500
beach,havelock-island,"Havelock Island (Swaraj Dweep)",Andaman & Nicobar,4.9,3500
beach,tranquebar,"Tranquebar (Tharangambadi)",Tamil Nadu,4.8,3200
city,gurugram,"Gurugram",Haryana,4.7,2800
city,noida,"Noida & Greater Noida",Uttar Pradesh,4.6,2400
heritage,udaipur,"Udaipur",Rajasthan,4.7,400
heritage,hampi,"Hampi",Karnataka,4.7,400
heritage,jaisalmer,"Jaisalmer",Rajasthan,4.6,500
heritage,jaipur,"Jaipur",Rajasthan,4.6,900
heritage,jodhpur,"Jodhpur",Rajasthan,4.6,900
heritage,bikaner,"Bikaner",Rajasthan,4.3,900
heritage,majuli,"Majuli",Assam,4.4,1000
heritage,mysore,"Mysore",Karnataka,4.6,1000
heritage,badami,"Badami",Karnataka,4.4,900
heritage,kochi,"Kochi",Kerala,4.5,1200
heritage,mahabalipuram,"Mahabalipuram",Tamil Nadu,4.6,1000
heritage,hyderabad,"Hyderabad",Telangana,4.5,1200
heritage,mumbai,"Mumbai",Maharashtra,4.4,1500
heritage,ajanta-ellora,"Ajanta & Ellora",Maharashtra,4.7,1000
heritage,ahmedabad,"Ahmedabad",Gujarat,4.4,1000
heritage,statue-of-unity,"Statue of Unity",Gujarat,4.5,1500
heritage,khajuraho,"Khajuraho",Madhya Pradesh,4.6,900
heritage,gwalior,"Gwalior",Madhya Pradesh,4.4,900
heritage,orchha,"Orchha",Madhya Pradesh,4.6,900
heritage,kolkata,"Kolkata",West Bengal,4.5,1200
heritage,konark,"Konark",Odisha,4.6,900
heritage,bhubaneswar,"Bhubaneswar",Odisha,4.4,1000
heritage,nalanda,"Nalanda",Bihar,4.5,900
heritage,belum-caves,"Belum Caves",Andhra Pradesh,4.5,900
heritage,ethipothala-falls,"Ethipothala Falls",Andhra Pradesh,4.3,900
heritage,konda-reddy-fort,"Konda Reddy Fort",Andhra Pradesh,4.3,900
heritage,kondaveedu-fort,"Kondaveedu Fort",Andhra Pradesh,4.5,900
heritage,kondapalli-fort,"Kondapalli Fort",Andhra Pradesh,4.6,900
heritage,talakona,"Talakona",Andhra Pradesh,4.2,900
heritage,chandragiri-fort,"Chandragiri Fort",Andhra Pradesh,4.1,900
heritage,gooty-fort,"Gooty Fort",Andhra Pradesh,4.2,900
heritage,madaksira-hill-fort,"Madaksira hill fort",Andhra Pradesh,4.8,900
heritage,ratnagiri-fort,"Ratnagiri Fort",Andhra Pradesh,4.5,900
heritage,nuranang-falls,"Nuranang Falls",Arunachal Pradesh,4.1,900
heritage,chumi-gyatse-falls,"Chumi Gyatse Falls",Arunachal Pradesh,4.4,900
heritage,kameng-elephant-reserve,"Kameng Elephant Reserve",Arunachal Pradesh,4.7,900
heritage,maidam,"Maidam",Assam,4.1,900
heritage,kareng-ghar,"Kareng Ghar",Assam,4.1,900
heritage,gurdwara-sri-guru-tegh-bahadur-sahib,"Gurdwara Sri Guru Tegh Bahadur Sahib",Assam,4.4,900
heritage,panimur,"Panimur",Assam,4.4,900
heritage,rohtasgarh-fort,"Rohtasgarh Fort",Bihar,4.5,900
heritage,takht-sri-patna-sahib,"Takht Sri Patna Sahib",Bihar,4.1,900
heritage,munger-fort,"Munger Fort",Bihar,4.8,900
heritage,buxar-fort,"Buxar Fort",Bihar,4.5,900
heritage,darbhanga-fort,"Darbhanga Fort",Bihar,4.2,900
heritage,gurdwara-bal-lila-maini-sangat,"Gurdwara Bal Lila Maini Sangat",Bihar,4.7,900
heritage,nandangarh-stupa-and-rampart,"Nandangarh Stupa and Rampart",Bihar,4.4,900
heritage,vishwamitra-ashram-bisaul,"Vishwamitra Ashram, Bisaul",Bihar,4.3,900
heritage,burail-fort,"Burail Fort",Chandigarh,4.4,900
heritage,manimajra-fort,"Manimajra Fort",Chandigarh,4.4,900
heritage,chitrakoot-falls,"Chitrakoot Falls",Chhattisgarh,4.5,900
heritage,kotumsar-cave,"Kotumsar Cave",Chhattisgarh,4.2,900
heritage,bijapur-fort,"Bijapur Fort",Karnataka,4.3,900
heritage,mendri-ghumar,"Mendri Ghumar",Chhattisgarh,4.3,900
heritage,new-delhi,"New Delhi",Delhi,4.8,2200
heritage,faridabad,"Faridabad & Surajkund",Haryana,4.5,2400
heritage,neemrana,"Neemrana",Rajasthan,4.8,3800
heritage,red-fort,"Red Fort",Delhi,4.4,900
heritage,gurdwara-dam-dama-sahib,"Gurdwara Dam Dama Sahib",Delhi,4.3,900
heritage,fort-st-anthony-of-simbor,"Fort St. Anthony of Simbor",Daman & Diu,4.7,900
heritage,dudhsagar-falls,"Dudhsagar Falls",Goa,4.1,900
heritage,fort-aguada,"Fort Aguada",Goa,4.6,900
heritage,fort-tiracol,"Fort Tiracol",Goa,4.5,900
heritage,corjuem-fort,"Corjuem Fort",Goa,4.3,900
heritage,alorna-fort,"Alorna Fort",Goa,4.6,900
heritage,fort-of-sao-tiago-of-banastarim,"Fort of São Tiago of Banastarim",Goa,4.6,900
heritage,cabo-de-rama,"Cabo de Rama",Goa,4.3,900
heritage,colvale-fort,"Colvale Fort",Goa,4.6,900
heritage,mormugao-fort,"Mormugão Fort",Goa,4.3,900
heritage,laxmi-vilas-palace,"Laxmi Vilas Palace",Gujarat,4.7,900
heritage,uparkot-fort,"Uparkot Fort",Gujarat,4.7,900
heritage,bhujia-fort,"Bhujia Fort",Gujarat,4.5,900
heritage,songadh-fort,"Songadh Fort",Gujarat,4.2,900
heritage,lakhpat-gurdwara-sahib,"Lakhpat Gurdwara Sahib",Gujarat,4.1,900
heritage,roha-fort,"Roha Fort",Gujarat,4.1,900
heritage,kanthkot-fort,"Kanthkot Fort",Gujarat,4.4,900
heritage,english-cemetery-surat,"English Cemetery, Surat",Gujarat,4.1,900
heritage,vijaya-vilas-palace,"Vijaya Vilas Palace",Gujarat,4.1,900
heritage,rajmahal-mehsana,"Rajmahal, Mehsana",Gujarat,4.5,900
heritage,asigarh-fort,"Asigarh Fort",Haryana,4.3,900
heritage,nada-sahib,"Nada Sahib",Haryana,4.3,900
heritage,firoz-shah-palace-complex,"Firoz Shah palace complex",Haryana,4.5,900
heritage,nabha-house,"Nabha House",Haryana,4.7,900
heritage,nahar-singh-mahal,"Nahar Singh Mahal",Haryana,4.1,900
heritage,appu-ghar,"Appu Ghar",Haryana,4.2,900
heritage,european-cemetery,"European Cemetery",Haryana,4.8,900
heritage,kangra-fort-himachal-pradesh,"Kangra Fort, Himachal Pradesh",Himachal Pradesh,4.6,900
heritage,gurdwara-paonta-sahib,"Gurdwara Paonta Sahib",Himachal Pradesh,4.2,900
heritage,rehala-falls,"Rehala Falls",Himachal Pradesh,4.6,900
heritage,naggar-castle,"Naggar Castle",Himachal Pradesh,4.6,900
heritage,sissu-falls,"Sissu Falls",Himachal Pradesh,4.4,900
heritage,dhankar-gompa,"Dhankar Gompa",Himachal Pradesh,4.4,900
heritage,jaitak-fort,"Jaitak Fort",Himachal Pradesh,4.6,900
heritage,akhnoor-fort,"Akhnoor Fort",Jammu & Kashmir,4.8,900
heritage,ramnagar-fort,"Ramnagar Fort",Jammu & Kashmir,4.3,900
heritage,hari-parbat-fort,"Hari Parbat Fort",Jammu & Kashmir,4.7,900
heritage,noori-chamb,"Noori Chamb",Jammu & Kashmir,4.4,900
heritage,hiranagar-fort,"Hiranagar Fort",Jammu & Kashmir,4.5,900
heritage,poonch-fort,"Poonch Fort",Jammu & Kashmir,4.3,900
heritage,hundru-falls,"Hundru Falls",Jharkhand,4.1,900
heritage,dassam-falls,"Dassam Falls",Jharkhand,4.6,900
heritage,jonha-falls,"Jonha Falls",Jharkhand,4.5,900
heritage,lodh-falls,"Lodh Falls",Jharkhand,4.2,900
heritage,rajrappa,"Rajrappa",Jharkhand,4.4,900
heritage,panchghagh-falls,"Panchghagh Falls",Jharkhand,4.8,900
heritage,lower-ghaghri-falls,"Lower Ghaghri Falls",Jharkhand,4.3,900
heritage,usri-falls,"Usri Falls",Jharkhand,4.3,900
heritage,st-mary-s-cathedral-ranchi,"St. Mary's Cathedral, Ranchi",Jharkhand,4.7,900
heritage,palamu-fort,"Palamu Fort",Jharkhand,4.1,900
heritage,sita-falls,"Sita Falls",Jharkhand,4.3,900
heritage,perwaghagh-falls,"Perwaghagh Falls",Jharkhand,4.7,900
heritage,bhatinda-falls,"Bhatinda Falls",Jharkhand,4.3,900
heritage,lawapani-falls,"Lawapani Falls",Jharkhand,4.4,900
heritage,jog-falls,"Jog Falls",Karnataka,4.4,900
heritage,shivanasamudra-falls,"Shivanasamudra Falls",Karnataka,4.7,900
heritage,irupu-falls,"Irupu Falls",Karnataka,4.3,900
heritage,bidar-fort,"Bidar Fort",Karnataka,4.4,900
heritage,gokak-falls,"Gokak Falls",Karnataka,4.1,900
heritage,kunchikal-falls,"Kunchikal Falls",Karnataka,4.8,900
heritage,bengaluru-palace,"Bengaluru Palace",Karnataka,4.6,900
heritage,lalitha-mahal,"Lalitha Mahal",Karnataka,4.5,900
heritage,hebbe-falls,"Hebbe Falls",Karnataka,4.3,900
heritage,chitradurga-fort,"Chitradurga Fort",Karnataka,4.7,900
heritage,devanahalli-fort,"Devanahalli Fort",Karnataka,4.1,900
heritage,gulbarga-fort,"Gulbarga Fort",Karnataka,4.8,900
heritage,jamalabad-fort,"Jamalabad Fort",Karnataka,4.3,900
heritage,muthyalamaduvu,"Muthyalamaduvu",Karnataka,4.7,900
heritage,mirjan-fort,"Mirjan Fort",Karnataka,4.6,900
heritage,raichur-fort,"Raichur Fort",Karnataka,4.5,900
heritage,hanumana-gundi-falls,"Hanumana Gundi Falls",Karnataka,4.5,900
heritage,mallalli-falls,"Mallalli Falls",Karnataka,4.2,900
heritage,kittur-fort,"Kittur Fort",Karnataka,4.7,900
heritage,fort-anjediva,"Fort Anjediva",Karnataka,4.5,900
heritage,belgaum-fort,"Belgaum Fort",Karnataka,4.6,900
heritage,bellary-fort,"Bellary Fort",Karnataka,4.2,900
heritage,koosalli-water-falls,"Koosalli Water Falls",Karnataka,4.3,900
heritage,vajrapoha-falls,"Vajrapoha Falls",Karnataka,4.7,900
heritage,jayamangali-blackbuck-reserve,"Jayamangali Blackbuck Reserve",Karnataka,4.3,900
heritage,madikeri-fort,"Madikeri Fort",Karnataka,4.8,900
heritage,manjarabad-fort,"Manjarabad Fort",Karnataka,4.7,900
heritage,nalknad-palace,"Nalknad Palace",Karnataka,4.5,900
heritage,chittaranjan-palace,"Chittaranjan Palace",Karnataka,4.4,900
heritage,chelavara-falls,"Chelavara Falls",Karnataka,4.2,900
heritage,bhimgad-fort,"Bhimgad Fort",Karnataka,4.8,900
heritage,devaragundi,"Devaragundi",Karnataka,4.4,900
heritage,tungabhadra-otter-conservation-reserve,"Tungabhadra Otter Conservation Reserve",Karnataka,4.7,900
heritage,parashurama-theme-park-karkala,"Parashurama Theme Park, Karkala",Karnataka,4.1,900
heritage,yadgir-fort,"Yadgir Fort",Karnataka,4.7,900
heritage,athirappilly-falls,"Athirappilly Falls",Kerala,4.5,900
heritage,palaruvi-falls,"Palaruvi Falls",Kerala,4.3,900
heritage,santa-cruz-basilica,"Santa Cruz Basilica",Kerala,4.3,900
heritage,st-angelo-fort,"St. Angelo Fort",Kerala,4.4,900
heritage,thusharagiri-falls,"Thusharagiri Falls",Kerala,4.3,900
heritage,soochipara-falls,"Soochipara Falls",Kerala,4.5,900
heritage,bekal-fort,"Bekal Fort",Kerala,4.6,900
heritage,pallipuram-fort,"Pallipuram Fort",Kerala,4.6,900
heritage,st-mary-s-syro-malabar-catholic-cathedral-basilica,"St. Mary's Syro-Malabar Catholic Cathedral Basilica",Kerala,4.5,900
heritage,vazhachal-falls,"Vazhachal Falls",Kerala,4.2,900
heritage,cheeyappara-waterfalls,"Cheeyappara Waterfalls",Kerala,4.3,900
heritage,palakkad-fort,"Palakkad Fort",Kerala,4.6,900
heritage,st-mary-s-cathedral-pattom-trivandrum,"St. Mary's Cathedral, Pattom, Trivandrum",Kerala,4.3,900
heritage,cranganore-fort,"Cranganore Fort",Kerala,4.5,900
heritage,hosdurg-fort,"Hosdurg Fort",Kerala,4.2,900
heritage,st-thomas-cathedral-pala,"St. Thomas Cathedral, Pala",Kerala,4.1,900
heritage,pathampuzha,"Pathampuzha",Kerala,4.1,900
heritage,aruvikkuzhy-falls,"Aruvikkuzhy Falls",Kerala,4.7,900
heritage,tellicherry-fort,"Tellicherry Fort",Kerala,4.7,900
heritage,anchuthengu-fort,"Anchuthengu Fort",Kerala,4.4,900
heritage,immaculate-heart-of-mary-cathedral,"Immaculate Heart of Mary Cathedral",Kerala,4.3,900
heritage,adyanpara-falls,"Adyanpara Falls",Kerala,4.6,900
heritage,perunthenaruvi-falls,"Perunthenaruvi Falls",Kerala,4.7,900
heritage,meenmutty-falls,"Meenmutty Falls",Kerala,4.2,900
heritage,thommankuthu,"Thommankuthu",Kerala,4.3,900
heritage,marmala-waterfall,"Marmala waterfall",Kerala,4.3,900
heritage,kumbhavurutty-waterfalls,"Kumbhavurutty Waterfalls",Kerala,4.1,900
heritage,aruvikkuzhi-waterfalls,"Aruvikkuzhi Waterfalls",Kerala,4.3,900
heritage,st-mary-s-cathedral-punalur,"St. Mary's Cathedral, Punalur",Kerala,4.1,900
heritage,arthat-st-mary-s-cathedral,"Arthat St. Mary's Cathedral",Kerala,4.4,900
heritage,vazhvanthol-waterfalls,"Vazhvanthol waterfalls",Kerala,4.4,900
heritage,valanjanganam-falls,"Valanjanganam Falls",Kerala,4.2,900
heritage,keralamkundu-waterfalls,"Keralamkundu Waterfalls",Kerala,4.6,900
heritage,kattikkayam-falls,"Kattikkayam Falls",Kerala,4.5,900
heritage,areekkal-waterfalls,"Areekkal Waterfalls",Kerala,4.2,900
heritage,lakkam-waterfalls,"Lakkam Waterfalls",Kerala,4.7,900
heritage,carmelagiri-elephant-park,"Carmelagiri Elephant Park",Kerala,4.5,900
heritage,mango-meadows,"Mango Meadows",Kerala,4.8,900
heritage,konni-forest-division,"Konni Forest Division",Kerala,4.6,900
heritage,valara,"Valara",Kerala,4.6,900
heritage,kannimara-teak,"Kannimara Teak",Kerala,4.5,900
heritage,kannamcode-cathedral,"Kannamcode Cathedral",Kerala,4.3,900
heritage,st-thomas-orthodox-cathedral-thottomon-ranny,"St Thomas Orthodox Cathedral, Thottomon, Ranny",Kerala,4.5,900
heritage,zangla-khar,"Zangla Khar",Ladakh,4.8,900
heritage,khurnak-fort,"Khurnak Fort",Ladakh,4.2,900
heritage,asirgarh-fort,"Asirgarh Fort",Madhya Pradesh,4.5,900
heritage,chachai-falls,"Chachai Falls",Madhya Pradesh,4.6,900
heritage,dhuandhar-falls,"Dhuandhar Falls",Madhya Pradesh,4.2,900
heritage,pandav-falls,"Pandav Falls",Madhya Pradesh,4.2,900
heritage,keoti-falls,"Keoti Falls",Madhya Pradesh,4.6,900
heritage,purwa-falls,"Purwa Falls",Madhya Pradesh,4.3,900
heritage,raneh-falls,"Raneh Falls",Madhya Pradesh,4.4,900
heritage,bahuti-falls,"Bahuti Falls",Madhya Pradesh,4.8,900
heritage,gatha-falls,"Gatha Falls",Madhya Pradesh,4.2,900
heritage,taj-mahal-palace,"Taj Mahal Palace",Madhya Pradesh,4.4,900
heritage,chanderi-fort,"Chanderi Fort",Madhya Pradesh,4.8,900
heritage,rajwada-palace,"Rajwada palace",Madhya Pradesh,4.6,900
heritage,patalpani-waterfall,"Patalpani waterfall",Madhya Pradesh,4.2,900
heritage,gohad-fort,"Gohad Fort",Madhya Pradesh,4.6,900
heritage,sabalgarh-fort,"Sabalgarh Fort",Madhya Pradesh,4.3,900
heritage,jabalpur-madan-mahal,"Jabalpur Madan Mahal",Madhya Pradesh,4.1,900
heritage,champavati-fort,"Champavati Fort",Madhya Pradesh,4.2,900
heritage,datia-palace,"Datia Palace",Madhya Pradesh,4.4,900
heritage,hindola-mahal,"Hindola Mahal",Madhya Pradesh,4.2,900
heritage,chaman-mahal,"Chaman Mahal",Madhya Pradesh,4.7,900
heritage,deogarh-fort,"Deogarh Fort",Madhya Pradesh,4.4,900
heritage,kaliadeh-palace,"Kaliadeh Palace",Madhya Pradesh,4.3,900
heritage,adhyatma-niketan,"Adhyatma Niketan",Madhya Pradesh,4.2,900
heritage,raigad-fort,"Raigad Fort",Maharashtra,4.5,900
heritage,shivneri-fort,"Shivneri Fort",Maharashtra,4.6,900
heritage,aga-khan-palace,"Aga Khan Palace",Maharashtra,4.3,900
heritage,shaniwar-wada,"Shaniwar Wada",Maharashtra,4.3,900
heritage,murud-janjira,"Murud-Janjira",Maharashtra,4.4,900
heritage,hazur-sahib,"Hazur Sahib",Maharashtra,4.4,900
heritage,fort-vasai,"Fort Vasai",Maharashtra,4.3,900
heritage,rajgad-fort,"Rajgad Fort",Maharashtra,4.5,900
heritage,sindhudurg-fort,"Sindhudurg Fort",Maharashtra,4.2,900
heritage,khanderi-island,"Khānderi Island",Maharashtra,4.6,900
heritage,harishchandragad,"Harishchandragad",Maharashtra,4.2,900
heritage,ahmednagar-fort,"Ahmednagar Fort",Maharashtra,4.7,900
heritage,panhala-fort,"Panhala Fort",Maharashtra,4.8,900
heritage,sinhagad,"Sinhagad",Maharashtra,4.3,900
heritage,harihar-fort,"Harihar Fort",Maharashtra,4.3,900
heritage,daulatabad-fort,"Daulatabad Fort",Maharashtra,4.1,900
heritage,lohagad,"Lohagad",Maharashtra,4.3,900
heritage,pratapgad,"Pratapgad",Maharashtra,4.5,900
heritage,arnala-fort,"Arnala Fort",Maharashtra,4.7,900
heritage,karnala-fort,"Karnala Fort",Maharashtra,4.2,900
heritage,torna-fort,"Torna Fort",Maharashtra,4.2,900
heritage,gawilghur-fort,"Gawilghur Fort",Maharashtra,4.6,900
heritage,belapur-fort,"Belapur Fort",Maharashtra,4.3,900
heritage,suvarnadurg-fort,"Suvarnadurg Fort",Maharashtra,4.4,900
heritage,dongri-fort,"Dongri Fort",Maharashtra,4.7,900
heritage,kolaba-fort,"Kolaba Fort",Maharashtra,4.1,900
heritage,rajmachi-fort,"Rajmachi Fort",Maharashtra,4.3,900
heritage,alang-fort,"Alang Fort",Maharashtra,4.1,900
heritage,ajinkyatara-fort,"Ajinkyatara Fort",Maharashtra,4.5,900
heritage,riwa-fort,"Riwa Fort",Maharashtra,4.3,900
heritage,udgir-fort,"Udgir Fort",Maharashtra,4.4,900
heritage,purandar-fort,"Purandar Fort",Maharashtra,4.5,900
heritage,madh-fort,"Madh Fort",Maharashtra,4.7,900
heritage,naldurg-fort,"Naldurg Fort",Maharashtra,4.4,900
heritage,ghodbunder-fort,"Ghodbunder Fort",Maharashtra,4.7,900
heritage,akola-fort,"Akola Fort",Maharashtra,4.4,900
heritage,asheri-fort,"Asheri Fort",Maharashtra,4.4,900
heritage,kaldurg-fort,"Kaldurg Fort",Maharashtra,4.1,900
heritage,vijaydurg-fort,"Vijaydurg Fort",Maharashtra,4.7,900
heritage,st-patrick-s-cathedral-pune,"St. Patrick's Cathedral, Pune",Maharashtra,4.2,900
heritage,dabhosa-waterfalls,"Dabhosa Waterfalls",Maharashtra,4.4,900
heritage,tikona,"Tikona",Maharashtra,4.3,900
heritage,laling-fort,"Laling Fort",Maharashtra,4.5,900
heritage,kavnai-fort,"Kavnai Fort",Maharashtra,4.5,900
heritage,ghosalegad-fort,"Ghosalegad Fort",Maharashtra,4.4,900
heritage,ballarpur-fort,"Ballarpur Fort",Maharashtra,4.2,900
heritage,jaigad-fort,"Jaigad Fort",Maharashtra,4.3,900
heritage,paranda-fort,"Paranda Fort",Maharashtra,4.5,900
heritage,achala-fort,"Achala Fort",Maharashtra,4.4,900
heritage,mahuli-fort,"Mahuli Fort",Maharashtra,4.2,900
heritage,prabalgad,"Prabalgad",Maharashtra,4.2,900
heritage,narnala-fort,"Narnala Fort",Maharashtra,4.4,900
heritage,korlai-fort,"Korlai Fort",Maharashtra,4.5,900
heritage,dugarwadi-waterfall,"Dugarwadi waterfall",Maharashtra,4.6,900
heritage,pandavkada-falls,"Pandavkada Falls",Maharashtra,4.6,900
heritage,avchitgad,"Avchitgad",Maharashtra,4.5,900
heritage,kandhar-fort,"Kandhar Fort",Maharashtra,4.6,900
heritage,antur-fort,"Antur Fort",Maharashtra,4.2,900
heritage,ankai-fort,"Ankai Fort",Maharashtra,4.6,900
heritage,ghangad,"Ghangad",Maharashtra,4.2,900
heritage,hadsar,"Hadsar",Maharashtra,4.4,900
heritage,dhodap-fort,"Dhodap Fort",Maharashtra,4.4,900
heritage,kamalgad,"Kamalgad",Maharashtra,4.2,900
heritage,malanggad,"Malanggad",Maharashtra,4.2,900
heritage,sajjangad,"Sajjangad",Maharashtra,4.7,900
heritage,indrai-fort,"Indrai Fort",Maharashtra,4.3,900
heritage,kamandurg,"Kamandurg",Maharashtra,4.7,900
heritage,malegaon-fort,"Malegaon Fort",Maharashtra,4.7,900
heritage,anjanvel-fort,"Anjanvel Fort",Maharashtra,4.6,900
heritage,bankot-fort,"Bankot Fort",Maharashtra,4.5,900
heritage,akluj-fort,"Akluj Fort",Maharashtra,4.7,900
heritage,mahur-fort,"Mahur Fort",Maharashtra,4.7,900
heritage,jivdhan,"Jivdhan",Maharashtra,4.4,900
heritage,kothaligad,"Kothaligad",Maharashtra,4.7,900
heritage,tung-fort,"Tung Fort",Maharashtra,4.5,900
heritage,irshalgad,"Irshalgad",Maharashtra,4.2,900
heritage,talagad,"Talagad",Maharashtra,4.1,900
heritage,galna-fort,"Galna Fort",Maharashtra,4.5,900
heritage,sahasrakund-waterfall,"Sahasrakund Waterfall",Maharashtra,4.2,900
heritage,hazara-falls,"Hazara Falls",Maharashtra,4.7,900
heritage,devkund-waterfall,"Devkund Waterfall",Maharashtra,4.5,900
heritage,kanchana-fort,"Kanchana Fort",Maharashtra,4.7,900
heritage,korigad,"Korigad",Maharashtra,4.6,900
heritage,fort-mangad,"Fort Mangad",Maharashtra,4.5,900
heritage,hatgadh-fort,"Hatgadh Fort",Maharashtra,4.2,900
heritage,birwadi-fort,"Birwadi Fort",Maharashtra,4.5,900
heritage,kankrala,"Kankrala",Maharashtra,4.2,900
heritage,dronagiri-fort,"Dronagiri Fort द्रौणपुर रियासत",Maharashtra,4.6,900
heritage,mora-fort,"Mora fort",Maharashtra,4.6,900
heritage,bhaskargad,"Bhaskargad",Maharashtra,4.5,900
heritage,bhushangad,"Bhushangad",Maharashtra,4.3,900
heritage,shirgaon-fort,"Shirgaon Fort",Maharashtra,4.7,900
heritage,dategad,"Dategad",Maharashtra,4.8,900
heritage,kelve-fort,"Kelve Fort",Maharashtra,4.1,900
heritage,gorakhgad,"Gorakhgad",Maharashtra,4.1,900
heritage,chandwad-fort,"Chandwad Fort",Maharashtra,4.2,900
heritage,ahivant-fort,"Ahivant Fort",Maharashtra,4.2,900
heritage,avandha-fort,"Avandha Fort",Maharashtra,4.2,900
heritage,bharatgad,"Bharatgad",Maharashtra,4.2,900
heritage,bahadur-fort,"Bahadur Fort",Maharashtra,4.2,900
heritage,devgad-fort,"Devgad Fort",Maharashtra,4.5,900
heritage,kohoj,"Kohoj",Maharashtra,4.5,900
heritage,gambhirgad,"Gambhirgad",Maharashtra,4.7,900
heritage,dativare-fort,"Dativare Fort",Maharashtra,4.3,900
heritage,bhavangad-fort,"Bhavangad Fort",Maharashtra,4.3,900
heritage,manikgad,"Manikgad",Maharashtra,4.8,900
heritage,yeshwantgad,"Yeshwantgad",Maharashtra,4.5,900
heritage,balapur-fort,"Balapur Fort",Maharashtra,4.2,900
heritage,padmadurg,"Padmadurg",Maharashtra,4.2,900
heritage,vajrai-waterfall,"Vajrai Waterfall",Maharashtra,4.6,900
heritage,kirkee-war-cemetery,"Kirkee War Cemetery",Maharashtra,4.4,900
heritage,rangana-fort,"Rangana Fort",Maharashtra,4.4,900
heritage,rohida-fort,"Rohida Fort",Maharashtra,4.6,900
heritage,sagargad,"Sagargad",Maharashtra,4.4,900
heritage,surgad,"Surgad",Maharashtra,4.1,900
heritage,mrugagad,"Mrugagad",Maharashtra,4.4,900
heritage,tandulwadi-fort,"Tandulwadi Fort",Maharashtra,4.3,900
heritage,jangali-jayagad,"Jangali Jayagad",Maharashtra,4.5,900
heritage,mahipatgad,"Mahipatgad",Maharashtra,4.4,900
